File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF332SCG	fastq	fastq		reads		ENCSR086OGH	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1	100		paired-ended	2	/files/ENCFF591BAY/			4829455575	Michael Snyder, Stanford	46c728282f436846dda2e6fd06a05d0f	SRA:SRR14305482	https://www.encodeproject.org/files/ENCFF332SCG/@@download/ENCFF332SCG.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2016/04/26/9d9bcafc-8027-44b0-bc78-7d680e1af4fd/ENCFF332SCG.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2016/04/26/9d9bcafc-8027-44b0-bc78-7d680e1af4fd/ENCFF332SCG.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			moderate library complexity, mild to moderate bottlenecking, moderate number of reproducible peaks	low FRiP score	
ENCFF591BAY	fastq	fastq		reads		ENCSR086OGH	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1	100		paired-ended	1	/files/ENCFF332SCG/			4677656905	Michael Snyder, Stanford	615445218c4d845e93fea578a7230422	SRA:SRR14305482	https://www.encodeproject.org/files/ENCFF591BAY/@@download/ENCFF591BAY.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2016/04/26/ec15f652-2fde-4deb-b54d-6b4ce5e6a7db/ENCFF591BAY.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2016/04/26/ec15f652-2fde-4deb-b54d-6b4ce5e6a7db/ENCFF591BAY.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			moderate library complexity, mild to moderate bottlenecking, moderate number of reproducible peaks	low FRiP score	
ENCFF591QAG	bigWig	bigWig		signal p-value	GRCh38	ENCSR086OGH	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1							/files/ENCFF778VJL/	1229149264	Anshul Kundaje, Stanford	4a83f2ec8ed07194aae16fb2125d50b3		https://www.encodeproject.org/files/ENCFF591QAG/@@download/ENCFF591QAG.bigWig				released	s3://encode-public/2016/12/22/a9441946-951f-41f9-a235-8222a5d73587/ENCFF591QAG.bigWig	https://datasetencode.blob.core.windows.net/dataset/2016/12/22/a9441946-951f-41f9-a235-8222a5d73587/ENCFF591QAG.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	archived	moderate library complexity, mild to moderate bottlenecking, moderate number of reproducible peaks	low FRiP score	
ENCFF778VJL	bam	bam		alignments	GRCh38	ENCSR086OGH	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1		101					/files/ENCFF591BAY/, /files/ENCFF332SCG/	6014216214	Anshul Kundaje, Stanford	4f04671a6fc6aaf7a1f52ce381e0bbc6		https://www.encodeproject.org/files/ENCFF778VJL/@@download/ENCFF778VJL.bam				released	s3://encode-public/2016/12/22/d18a1e9c-ef63-4d63-9a7c-cb8836d02f39/ENCFF778VJL.bam	https://datasetencode.blob.core.windows.net/dataset/2016/12/22/d18a1e9c-ef63-4d63-9a7c-cb8836d02f39/ENCFF778VJL.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	archived	moderate library complexity, mild to moderate bottlenecking, moderate number of reproducible peaks	low FRiP score	
ENCFF997HHO	bigWig	bigWig		fold change over control	GRCh38	ENCSR086OGH	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1							/files/ENCFF778VJL/	1396147459	Anshul Kundaje, Stanford	689b9a5828c53a594c75f6534a324a6c		https://www.encodeproject.org/files/ENCFF997HHO/@@download/ENCFF997HHO.bigWig				released	s3://encode-public/2016/12/22/2d0c959d-4abc-49e1-b7a8-739bddd97aad/ENCFF997HHO.bigWig	https://datasetencode.blob.core.windows.net/dataset/2016/12/22/2d0c959d-4abc-49e1-b7a8-739bddd97aad/ENCFF997HHO.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	archived	moderate library complexity, mild to moderate bottlenecking, moderate number of reproducible peaks	low FRiP score	
ENCFF049WJI	bigWig	bigWig		fold change over control	GRCh38	ENCSR086OGH	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1							/files/ENCFF182ZGK/	1442938137	ENCODE Processing Pipeline	c179a0d9c939eefc012267902905f65d		https://www.encodeproject.org/files/ENCFF049WJI/@@download/ENCFF049WJI.bigWig				released	s3://encode-public/2021/02/25/d4b6163d-f6c3-41ed-bf90-cd2270617924/ENCFF049WJI.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/02/25/d4b6163d-f6c3-41ed-bf90-cd2270617924/ENCFF049WJI.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	moderate library complexity, mild to moderate bottlenecking, moderate number of reproducible peaks	low FRiP score	
ENCFF189YSM	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR086OGH	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1							/files/ENCFF182ZGK/	5824121	ENCODE Processing Pipeline	5e5b640fd3c54d6fc9504d103f1532b7		https://www.encodeproject.org/files/ENCFF189YSM/@@download/ENCFF189YSM.bed.gz				released	s3://encode-public/2021/02/25/575596e6-f176-432d-96ba-81fda37b7ec3/ENCFF189YSM.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/02/25/575596e6-f176-432d-96ba-81fda37b7ec3/ENCFF189YSM.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	moderate library complexity, mild to moderate bottlenecking, moderate number of reproducible peaks	low FRiP score	
ENCFF697MUB	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR086OGH	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1							/files/ENCFF356LFX/, /files/ENCFF182ZGK/	1381456	ENCODE Processing Pipeline	685cfcb082f5f5b2f79b59b768af6f59		https://www.encodeproject.org/files/ENCFF697MUB/@@download/ENCFF697MUB.bed.gz				released	s3://encode-public/2021/02/25/e1e14e86-f3f6-4ff8-b189-092ffe36440f/ENCFF697MUB.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/02/25/e1e14e86-f3f6-4ff8-b189-092ffe36440f/ENCFF697MUB.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	moderate library complexity, mild to moderate bottlenecking, moderate number of reproducible peaks	low FRiP score	
ENCFF628ARL	bigWig	bigWig		signal p-value	GRCh38	ENCSR086OGH	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1							/files/ENCFF182ZGK/	1066372356	ENCODE Processing Pipeline	ec51ecf40b45a9d87a60f322aff8b669		https://www.encodeproject.org/files/ENCFF628ARL/@@download/ENCFF628ARL.bigWig				released	s3://encode-public/2021/02/25/28217bb8-30cb-4592-b735-f8294abf142d/ENCFF628ARL.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/02/25/28217bb8-30cb-4592-b735-f8294abf142d/ENCFF628ARL.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	moderate library complexity, mild to moderate bottlenecking, moderate number of reproducible peaks	low FRiP score	
ENCFF469LGT	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR086OGH	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1							/files/ENCFF697MUB/	3156933	ENCODE Processing Pipeline	66023deb2c6ae471403eb3cf45492a07		https://www.encodeproject.org/files/ENCFF469LGT/@@download/ENCFF469LGT.bigBed				released	s3://encode-public/2021/02/25/67cca503-66b3-46d7-880d-f7e0aa3e3255/ENCFF469LGT.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/02/25/67cca503-66b3-46d7-880d-f7e0aa3e3255/ENCFF469LGT.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	moderate library complexity, mild to moderate bottlenecking, moderate number of reproducible peaks	low FRiP score	
